Time (s),Voltage (V)
-1.3199999999999999e-08,5.12
-1.3159999999999997e-08,5.12
-1.3119999999999998e-08,5.12
-1.3079999999999999e-08,5.12
-1.304e-08,5.12
-1.2999999999999997e-08,5.12
-1.2959999999999998e-08,5.12
-1.292e-08,5.12
-1.2879999999999997e-08,5.12
-1.2839999999999998e-08,5.12
-1.2799999999999999e-08,5.12
-1.276e-08,5.12
-1.2719999999999997e-08,5.12
-1.2679999999999998e-08,5.12
-1.264e-08,5.12
-1.2599999999999997e-08,5.12
-1.2559999999999998e-08,5.12
-1.2519999999999999e-08,5.12
-1.248e-08,5.12
-1.2439999999999998e-08,5.12
-1.2399999999999999e-08,5.12
-1.236e-08,5.12
-1.2319999999999997e-08,5.12
-1.2279999999999998e-08,5.12
-1.2239999999999999e-08,5.12
-1.2199999999999997e-08,5.12
-1.2159999999999998e-08,5.12
-1.2119999999999999e-08,5.12
-1.208e-08,5.12
-1.2039999999999997e-08,5.12
-1.1999999999999998e-08,5.12
-1.196e-08,5.08
-1.1919999999999997e-08,5.08
-1.1879999999999998e-08,5.08
-1.1839999999999999e-08,5.08
-1.18e-08,5.08
-1.1759999999999997e-08,5.08
-1.1719999999999998e-08,5.08
-1.168e-08,5.08
-1.1639999999999997e-08,5.08
-1.1599999999999998e-08,5.08
-1.1559999999999999e-08,5.08
-1.152e-08,5.08
-1.1479999999999998e-08,5.08
-1.1439999999999999e-08,5.08
-1.14e-08,5.08
-1.1359999999999997e-08,5.08
-1.1319999999999998e-08,5.08
-1.1279999999999999e-08,5.08
-1.124e-08,5.08
-1.1199999999999998e-08,5.08
-1.1159999999999999e-08,5.08
-1.112e-08,5.08
-1.1079999999999997e-08,5.08
-1.1039999999999998e-08,5.04
-1.1e-08,5.04
-1.0959999999999997e-08,5.04
-1.0919999999999998e-08,5.04
-1.0879999999999999e-08,5.04
-1.084e-08,5.04
-1.0799999999999997e-08,5.04
-1.0759999999999998e-08,5.04
-1.072e-08,5.04
-1.0679999999999997e-08,5.04
-1.0639999999999998e-08,5.04
-1.0599999999999999e-08,5.04
-1.056e-08,5.04
-1.0519999999999998e-08,5.04
-1.0479999999999999e-08,5.04
-1.044e-08,5.04
-1.0399999999999997e-08,5.04
-1.0359999999999998e-08,5.04
-1.0319999999999999e-08,5.04
-1.028e-08,5.04
-1.0239999999999998e-08,5.04
-1.0199999999999999e-08,5.04
-1.016e-08,5.04
-1.0119999999999997e-08,5.04
-1.0079999999999998e-08,5.04
-1.004e-08,5.04
-9.999999999999997e-09,5.04
-9.959999999999998e-09,5.04
-9.919999999999999e-09,5.04
-9.88e-09,5.04
-9.839999999999997e-09,5.04
-9.799999999999998e-09,5.04
-9.76e-09,5.04
-9.719999999999997e-09,5.04
-9.679999999999998e-09,5.04
-9.639999999999999e-09,5.04
-9.6e-09,5.04
-9.559999999999998e-09,5.04
-9.519999999999999e-09,5.04
-9.48e-09,5.04
-9.439999999999997e-09,5.04
-9.399999999999998e-09,5.04
-9.359999999999999e-09,5.04
-9.32e-09,5.04
-9.279999999999998e-09,5.04
-9.239999999999999e-09,5.08
-9.2e-09,5.08
-9.159999999999997e-09,5.08
-9.119999999999998e-09,5.08
-9.08e-09,5.08
-9.04e-09,5.08
-8.999999999999998e-09,5.08
-8.959999999999999e-09,5.08
-8.92e-09,5.08
-8.879999999999997e-09,5.08
-8.839999999999998e-09,5.08
-8.8e-09,5.08
-8.759999999999997e-09,5.08
-8.719999999999998e-09,5.08
-8.679999999999999e-09,5.08
-8.64e-09,5.08
-8.599999999999998e-09,5.08
-8.559999999999999e-09,5.08
-8.52e-09,5.08
-8.479999999999997e-09,5.08
-8.439999999999998e-09,5.08
-8.399999999999999e-09,5.08
-8.36e-09,5.08
-8.319999999999998e-09,5.12
-8.279999999999999e-09,5.12
-8.24e-09,5.12
-8.199999999999997e-09,5.12
-8.159999999999998e-09,5.12
-8.12e-09,5.12
-8.08e-09,5.12
-8.039999999999998e-09,5.12
-7.999999999999999e-09,5.12
-7.96e-09,5.12
-7.919999999999997e-09,5.12
-7.879999999999998e-09,5.12
-7.84e-09,5.12
-7.799999999999997e-09,5.12
-7.759999999999998e-09,5.12
-7.719999999999999e-09,5.12
-7.68e-09,5.12
-7.639999999999998e-09,5.12
-7.599999999999999e-09,5.12
-7.56e-09,5.12
-7.519999999999997e-09,5.12
-7.479999999999998e-09,5.12
-7.439999999999999e-09,5.12
-7.4e-09,5.12
-7.359999999999998e-09,5.12
-7.319999999999999e-09,5.12
-7.28e-09,5.12
-7.239999999999997e-09,5.12
-7.199999999999998e-09,5.12
-7.159999999999999e-09,5.12
-7.12e-09,5.12
-7.079999999999998e-09,5.12
-7.039999999999999e-09,5.12
-7e-09,5.08
-6.9599999999999975e-09,5.08
-6.9199999999999984e-09,5.08
-6.879999999999999e-09,5.08
-6.84e-09,5.08
-6.799999999999998e-09,5.08
-6.759999999999999e-09,5.08
-6.72e-09,5.08
-6.679999999999998e-09,5.08
-6.6399999999999986e-09,5.08
-6.5999999999999995e-09,5.08
-6.559999999999997e-09,5.08
-6.519999999999998e-09,5.08
-6.479999999999999e-09,5.08
-6.44e-09,5.04
-6.399999999999998e-09,5.04
-6.359999999999999e-09,5.04
-6.32e-09,5.04
-6.279999999999997e-09,5.04
-6.239999999999998e-09,5.04
-6.199999999999999e-09,5.04
-6.16e-09,5.04
-6.119999999999998e-09,5.04
-6.079999999999999e-09,5.0
-6.04e-09,5.0
-5.9999999999999975e-09,5.0
-5.9599999999999984e-09,5.0
-5.919999999999999e-09,5.0
-5.88e-09,5.0
-5.839999999999998e-09,5.0
-5.799999999999999e-09,4.96
-5.76e-09,4.96
-5.719999999999998e-09,4.96
-5.6799999999999986e-09,4.96
-5.6399999999999995e-09,4.96
-5.599999999999997e-09,4.96
-5.559999999999998e-09,4.92
-5.519999999999999e-09,4.92
-5.48e-09,4.92
-5.439999999999998e-09,4.92
-5.399999999999999e-09,4.88
-5.36e-09,4.88
-5.319999999999997e-09,4.88
-5.279999999999998e-09,4.88
-5.239999999999999e-09,4.84
-5.2e-09,4.84
-5.159999999999998e-09,4.84
-5.119999999999999e-09,4.8
-5.08e-09,4.8
-5.0399999999999975e-09,4.8
-4.9999999999999985e-09,4.76
-4.9599999999999994e-09,4.76
-4.92e-09,4.76
-4.879999999999998e-09,4.72
-4.839999999999999e-09,4.72
-4.8e-09,4.68
-4.759999999999998e-09,4.68
-4.719999999999999e-09,4.64
-4.6799999999999996e-09,4.64
-4.639999999999997e-09,4.64
-4.599999999999998e-09,4.6000000000000005
-4.559999999999999e-09,4.6000000000000005
-4.52e-09,4.5600000000000005
-4.479999999999998e-09,4.5600000000000005
-4.439999999999999e-09,4.5200000000000005
-4.4e-09,4.48
-4.359999999999997e-09,4.48
-4.319999999999998e-09,4.44
-4.279999999999999e-09,4.44
-4.24e-09,4.4
-4.199999999999998e-09,4.36
-4.159999999999999e-09,4.36
-4.12e-09,4.32
-4.0799999999999975e-09,4.28
-4.0399999999999985e-09,4.28
-3.9999999999999994e-09,4.24
-3.96e-09,4.2
-3.919999999999998e-09,4.16
-3.879999999999999e-09,4.16
-3.84e-09,4.12
-3.799999999999998e-09,4.08
-3.759999999999999e-09,4.04
-3.7199999999999996e-09,4.0
-3.6800000000000005e-09,3.96
-3.639999999999998e-09,3.92
-3.599999999999999e-09,3.92
-3.56e-09,3.88
-3.5199999999999978e-09,3.84
-3.4799999999999987e-09,3.8000000000000003
-3.4399999999999997e-09,3.7600000000000002
-3.3999999999999974e-09,3.72
-3.3599999999999983e-09,3.68
-3.3199999999999993e-09,3.64
-3.2800000000000003e-09,3.6
-3.239999999999998e-09,3.56
-3.199999999999999e-09,3.52
-3.16e-09,3.48
-3.1199999999999975e-09,3.44
-3.0799999999999985e-09,3.36
-3.0399999999999994e-09,3.3200000000000003
-3.0000000000000004e-09,3.2800000000000002
-2.959999999999998e-09,3.24
-2.919999999999999e-09,3.2
-2.88e-09,3.16
-2.8399999999999976e-09,3.12
-2.7999999999999986e-09,3.04
-2.7599999999999996e-09,3.0
-2.7200000000000005e-09,2.96
-2.679999999999998e-09,2.92
-2.639999999999999e-09,2.88
-2.6e-09,2.8000000000000003
-2.5599999999999978e-09,2.7600000000000002
-2.5199999999999987e-09,2.72
-2.4799999999999997e-09,2.68
-2.4399999999999974e-09,2.6
-2.3999999999999983e-09,2.56
-2.3599999999999993e-09,2.52
-2.3200000000000003e-09,2.48
-2.279999999999998e-09,2.4
-2.239999999999999e-09,2.36
-2.2e-09,2.32
-2.1599999999999975e-09,2.2800000000000002
-2.1199999999999985e-09,2.2
-2.0799999999999994e-09,2.16
-2.0400000000000004e-09,2.12
-1.999999999999998e-09,2.08
-1.959999999999999e-09,2.04
-1.92e-09,1.96
-1.8799999999999976e-09,1.92
-1.8399999999999986e-09,1.8800000000000001
-1.7999999999999996e-09,1.84
-1.7600000000000005e-09,1.8
-1.7199999999999982e-09,1.72
-1.6799999999999992e-09,1.68
-1.6400000000000001e-09,1.6400000000000001
-1.5999999999999978e-09,1.6
-1.5599999999999987e-09,1.56
-1.5199999999999997e-09,1.52
-1.4800000000000007e-09,1.44
-1.4399999999999983e-09,1.4000000000000001
-1.3999999999999993e-09,1.36
-1.3600000000000003e-09,1.32
-1.319999999999998e-09,1.28
-1.2799999999999989e-09,1.24
-1.2399999999999999e-09,1.2
-1.1999999999999975e-09,1.16
-1.1599999999999985e-09,1.12
-1.1199999999999994e-09,1.08
-1.0800000000000004e-09,1.04
-1.039999999999998e-09,1.0
-9.99999999999999e-10,0.96
-9.6e-10,0.92
-9.199999999999977e-10,0.88
-8.799999999999986e-10,0.84
-8.399999999999996e-10,0.8
-8.000000000000005e-10,0.76
-7.599999999999982e-10,0.72
-7.199999999999992e-10,0.68
-6.800000000000001e-10,0.64
-6.399999999999978e-10,0.6
-5.999999999999988e-10,0.56
-5.599999999999997e-10,0.56
-5.200000000000007e-10,0.52
-4.799999999999983e-10,0.48
-4.399999999999993e-10,0.44
-4.0000000000000027e-10,0.4
-3.5999999999999793e-10,0.36
-3.199999999999989e-10,0.36
-2.7999999999999986e-10,0.32
-2.399999999999975e-10,0.28
-1.9999999999999848e-10,0.24
-1.5999999999999614e-10,0.24
-1.199999999999971e-10,0.2
-7.999999999999807e-11,0.16
-3.9999999999999035e-11,0.12
0.0,0.12
3.9999999999999035e-11,0.08
7.999999999999807e-11,0.04
1.2000000000000372e-10,0.04
1.6000000000000276e-10,0.0
2.000000000000018e-10,-0.04
2.400000000000008e-10,-0.04
